èCém,,,,,êVï˚éÆ,,,
t,i1,i2,i3,,t,i1,i2,i3
0,0,0,0,,2.00E-12,1.12E-07,9.17E-17,6.25E-08
0.0001,10.70663849,0.782226569,5.464441589,,4.09E-09,2.29E-04,3.84E-10,1.28E-04
0.0002,20.6877212,2.70949247,9.885511974,,4.19E-06,2.34E-01,4.02E-04,1.31E-01
0.0003,30.13080677,5.407347369,13.7106694,,1.14E-04,1.07E+01,7.77E-01,5.47E+00
0.0004,39.1486935,8.659737854,17.17980163,,2.88E-04,2.71E+01,4.44E+00,1.25E+01
0.0005,47.81556458,12.33075735,20.43178515,,5.32E-04,4.54E+01,1.21E+01,1.92E+01
0.0006,56.18373591,16.32880749,23.5521714,,6.63E-04,4.28E+01,1.57E+01,1.67E+01
0.0007,53.58546682,19.80654659,21.13179882,,8.66E-04,3.98E+01,1.91E+01,1.50E+01
0.0008,51.48305158,22.35294162,19.71548951,,1.23E-03,3.61E+01,2.26E+01,1.43E+01
0.0009,49.71294764,24.30558512,18.88120139,,1.98E-03,3.14E+01,2.55E+01,1.53E+01
0.001,48.18198335,25.85164542,18.40680574,,3.65E-03,2.58E+01,2.68E+01,1.81E+01
0.002,38.93229426,32.30876222,19.48589964,,7.90E-03,1.96E+01,2.54E+01,2.14E+01
0.003,34.03673881,33.64445692,21.89412348,,1.25E-02,1.73E+01,2.40E+01,2.20E+01
0.004,30.78638712,33.69625736,23.75008925,,1.72E-02,1.56E+01,2.27E+01,2.22E+01
0.005,28.39904189,33.2983815,25.08138244,,2.19E-02,1.44E+01,2.16E+01,2.21E+01
0.006,26.53849434,32.72823191,26.02526399,,2.79E-02,1.33E+01,2.06E+01,2.18E+01
0.007,25.03014041,32.09715478,26.69103222,,3.27E-02,1.25E+01,1.98E+01,2.15E+01
0.008,23.77217822,31.45450181,27.15577795,,3.83E-02,1.18E+01,1.90E+01,2.11E+01
0.009,22.70035447,30.8231568,27.47317346,,4.39E-02,1.13E+01,1.83E+01,2.08E+01
0.01,21.77168683,30.21367868,27.68098593,,4.95E-02,1.08E+01,1.77E+01,2.04E+01
0.02,16.36454981,25.51402403,27.2849249,,5.53E-02,1.03E+01,1.71E+01,2.00E+01
0.03,13.74480442,22.53698468,25.84282057,,6.11E-02,9.89E+00,1.66E+01,1.97E+01
0.04,12.11090974,20.45362071,24.44311004,,6.57E-02,9.58E+00,1.62E+01,1.94E+01
0.05,10.9632358,18.88804325,23.21091009,,7.15E-02,9.28E+00,1.58E+01,1.91E+01
0.06,10.09844106,17.65349292,22.14055073,,7.65E-02,9.00E+00,1.54E+01,1.88E+01
0.07,9.415703117,16.64596616,21.20700418,,8.20E-02,8.76E+00,1.51E+01,1.85E+01
0.08,8.858453111,15.80236026,20.38608239,,8.77E-02,8.52E+00,1.47E+01,1.82E+01
0.09,8.392117881,15.08183817,19.65783335,,9.28E-02,8.30E+00,1.44E+01,1.79E+01
0.1,7.99419386,14.45662064,19.00641075,,9.84E-02,8.10E+00,1.41E+01,1.77E+01
0.20013,5.781419947,10.80864345,14.87219205,,1.03E-01,7.93E+00,1.39E+01,1.75E+01
0.30026,4.769893248,9.046702927,12.69020889,,1.09E-01,7.75E+00,1.36E+01,1.72E+01
0.40039,4.157260909,7.951602123,11.27927321,,1.14E-01,7.58E+00,1.34E+01,1.70E+01
0.50052,3.734917828,7.184556908,10.26742935,,1.19E-01,7.45E+00,1.32E+01,1.68E+01
0.60065,3.420893194,6.607909839,9.494461525,,1.24E-01,7.31E+00,1.30E+01,1.66E+01
0.70078,3.175478185,6.153530186,8.878186521,,1.30E-01,7.17E+00,1.28E+01,1.64E+01
